host	n_obs_alone	n_obs_with_par	n_obs_tot	known_plant	selection_test_01	phylum	class	order	family	subfamily	tribe	genus	n_in_10_best_march_2019	n_obs_with_col_event	n_col_event
epicorsia_avilalisdhj01	61	9	70	25	n	Arthropoda	Insecta	Lepidoptera	Crambidae	Pyraustinae	NA	Epicorsia	NA	53	35
epicorsia_avilalisdhj02	57	2	59	34	n	Arthropoda	Insecta	Lepidoptera	Crambidae	Pyraustinae	NA	Epicorsia	NA	42	33
epidelia_damia	48	1	49	6	n	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	NA	Epidelia	NA	47	25
epidesma_ursula	7	3	10	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	Arctiini	Epidesma	NA	1	1
epimecis_matronaria	89	23	112	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	NA	Epimecis	NA	82	71
epipabiolep01_biolep884	6	2	8	0	n	Arthropoda	Insecta	Lepidoptera	Pyralidae	Epipaschiinae	NA	epipaBioLep01	NA	4	4
epipajanzen01_janzen15dhj01	15	1	16	8	n	Arthropoda	Insecta	Lepidoptera	Pyralidae	Epipaschiinae	NA	epipaJanzen01	NA	8	7
epipajanzen01_janzen178	14	1	15	3	n	Arthropoda	Insecta	Lepidoptera	Pyralidae	Epipaschiinae	NA	epipaJanzen01	NA	14	8
epipajanzen01_janzen18	22	1	23	20	n	Arthropoda	Insecta	Lepidoptera	Pyralidae	Epipaschiinae	NA	epipaJanzen01	NA	22	10
epipajanzen01_janzen22	79	3	82	27	n	Arthropoda	Insecta	Lepidoptera	Pyralidae	Epipaschiinae	NA	epipaJanzen01	NA	73	25
epiperola_vafera	13	2	15	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Epiperola	NA	11	10
epiperola_vaferella	25	28	53	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Epiperola	NA	20	16
episcepsis_hypoleuca	3	4	7	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	Arctiini	Episcepsis	NA	3	2
episimus_brown18	40	37	77	1	n	Arthropoda	Insecta	Lepidoptera	Tortricidae	Olethreutinae	NA	Episimus	NA	25	19
episimus_ortygia	255	23	278	0	n	Arthropoda	Insecta	Lepidoptera	Tortricidae	Olethreutinae	NA	Episimus	NA	216	127
episimus_zunigaedhj01	68	2	70	0	n	Arthropoda	Insecta	Lepidoptera	Tortricidae	Olethreutinae	NA	Episimus	NA	63	35
